sheet_row,business_name,city,phone_on_file,why
231,Tri State Flooring,Signal Mountain,(423) 593-0116,"NOT CONFIRMED: no official site or business-run page found for a Tri State Flooring on Signal Mountain; the Tri-State Flooring pages that exist are in Memphis, Alabama and South Dakota. Needs a live check of 423-593-0116."
233,31W Insulation,Chattanooga,877-241-4563,"NOT CONFIRMED after a second attempt on both 31winsulation.com and 31-w.com: neither returns a Chattanooga branch. The 877 number in the sheet is a national line, not a local one. Needs a live call before working."
236,SC Electric,Hixson,(423) 269-7777,NOT CONFIRMED: no official site or business-run page found for SC Electric in Hixson. Needs a live check of 423-269-7777.
237,Tower Services Inc,Hixson,(423) 843-2363,NOT CONFIRMED: no official site or business-run page found for Tower Services Inc in Hixson; tower-services.com belongs to an unrelated agricultural firm in North Carolina. Needs a live check of 423-843-2363.
238,North River Electric,Hixson,(423) 605-0694,"A northriverelectric.com site exists but publishes no contact details and does not state a Hixson location, so it is not confirmed as this company. Needs a live check."
242,423 HVAC,Hixson,(423) 903-1192,NOT CONFIRMED: no official site or business-run page found under this name in Hixson. Needs a live check of 423-903-1192.
248,P&S Plumbing,Soddy-Daisy,(423) 294-1408,NOT CONFIRMED: a P & S Plumbing page exists but nothing ties it to Soddy-Daisy; the other P&S Plumbing results are in Hawaii and Texas. Needs a live check of 423-294-1408.
249,Precise Plumbing,Soddy-Daisy,(423) 843-0124,NOT CONFIRMED: no official site or business-run page found for Precise Plumbing in Soddy-Daisy. Needs a live check of 423-843-0124. Note the Hixson row of the same name is also unconfirmed - they may be one business or neither.
255,Twin City Self Storage,Soddy-Daisy,(423) 451-9933,NOT CONFIRMED: a Twin City Self Storage page exists but no Soddy-Daisy location surfaced; the named ones are in Illinois and Alabama. Needs a live check of 423-451-9933.
264,Red Bank Auto Electric Inc,Red Bank,(423) 877-5215,"NOT CONFIRMED after two attempts: no business-run page under this name in Red Bank. Other Dayton Blvd auto businesses surface, but not this one. Needs a live call to 423-877-5215."
271,8 Point Trucking,Collegedale,423-421-5921,NOT CONFIRMED: no official site or business-run page found under this name in Collegedale. Needs a live check of 423-421-5921.
